split_family,policy,accuracy,macro_f1,active_macro_f1,balanced_accuracy,mean_ali,intervention_rate,risk_coverage_auc,active_risk_coverage_auc,ece,median_decision_time_ms,n,n_active
hyser_subject_logo,assist_only,0.3194369589971731,0.2878856597057609,0.2878856597057609,0.31839215686274513,0.19744207471072825,0.673039980226819,0.5144010069993008,0.5144010069993008,0.07084228683625021,600.0,40340,40340
hyser_within_subject_dayshift,user_only,0.4113452098260747,0.385725313552562,0.385725313552562,0.40938725490196076,0.0,0.0,0.40472649019857465,0.40472649019857465,0.10682669908672597,600.0,20190,20190
hyser_within_subject_dayshift,plain_conf_threshold_matched_tau_0.02,0.41149421726413193,0.3858297163999662,0.3858297163999662,0.40954411764705884,2.489588645594783e-05,0.00029606626158665034,0.4022972464099932,0.4022972464099932,0.1050402631997381,600.0,20190,20190
hyser_within_subject_dayshift,plain_conf_threshold_matched_tau_0.05,0.41173306758767536,0.38613419120822245,0.38613419120822245,0.40977450980392155,0.0001264398589102355,0.001684182868317171,0.39961272771522816,0.39961272771522816,0.10173864271874426,600.0,20190,20190
hyser_within_subject_dayshift,set_acsa_tau_0.02,0.41634021261408893,0.39130481224697544,0.39130481224697544,0.4144068627450981,0.00015273146531745663,0.015299199464021826,0.38527621055319583,0.38527621055319583,0.10279687593624776,600.0,20190,20190
hyser_within_subject_dayshift,agency_margin_tau_0.02,0.4170839300492827,0.39208957316791476,0.39208957316791476,0.4151421568627451,0.00018633060206814885,0.018313952977967552,0.384970918694226,0.384970918694226,0.11476019922781049,600.0,20190,20190
hyser_within_subject_dayshift,selective_prediction,0.4120173468375131,0.3865543963525102,0.3865543963525102,0.41006535947712414,0.00021945935593595565,0.0020294297816304463,0.3996167464319457,0.3996167464319457,0.10277307226964634,600.0,60570,60570
hyser_within_subject_dayshift,plain_conf_threshold_matched_tau_0.10,0.413713477033693,0.38867489873683325,0.38867489873683325,0.4117892156862745,0.001006192041398749,0.007428884290504175,0.3953373374655257,0.3953373374655257,0.10022488343098124,600.0,20190,20190
hyser_within_subject_dayshift,set_acsa_tau_0.05,0.42405974625863807,0.39950974917922977,0.39950974917922977,0.42204411764705885,0.001096564923498545,0.04196217954462987,0.38083413938605404,0.38083413938605404,0.10348306372089541,600.0,20190,20190
hyser_within_subject_dayshift,agency_margin_tau_0.05,0.42554339645540795,0.4011381186381868,0.4011381186381868,0.42351470588235296,0.0012467015049352432,0.04754251744502862,0.38040093702823113,0.38040093702823113,0.10414035333097627,600.0,20190,20190
hyser_within_subject_dayshift,plain_conf_threshold_matched_tau_0.15,0.4151028305890618,0.39117376566691736,0.39117376566691736,0.4131470588235294,0.0022778423269363343,0.015176304783522818,0.39399809816799936,0.39399809816799936,0.09870193397673407,600.0,20190,20190
hyser_within_subject_dayshift,confidence_blend_alpha_0.25,0.43886299206503826,0.4150537588029916,0.4150537588029916,0.43674019607843134,0.0029332326433918316,0.09038217608811541,0.3735597815080881,0.3735597815080881,0.1480468297777731,600.0,20190,20190
hyser_within_subject_dayshift,plain_conf_threshold_matched_tau_0.20,0.4172886213587231,0.3939189882519571,0.3939189882519571,0.4153039215686275,0.0034214847845872947,0.021431605689465207,0.3917385117345366,0.3917385117345366,0.10016700854321599,600.0,20190,20190
hyser_within_subject_dayshift,set_acsa_tau_0.10,0.43777500173085154,0.41546474797503263,0.41546474797503263,0.4356911764705882,0.005003168855304601,0.09356857771352271,0.3734513968324817,0.3734513968324817,0.10492542319116623,600.0,20190,20190
hyser_within_subject_dayshift,agency_margin_tau_0.10,0.43896530298220054,0.41663524140366714,0.41663524140366714,0.4368676470588236,0.005191601367044323,0.09708147987711535,0.37301676603546446,0.37301676603546446,0.09520239202248715,600.0,20190,20190
hyser_within_subject_dayshift,set_acsa_tau_0.15,0.4474162454962863,0.4265787276884616,0.4265787276884616,0.4453186274509804,0.009626941894695552,0.13093933995236956,0.36886105540412684,0.36886105540412684,0.1057825699004995,600.0,20190,20190
hyser_within_subject_dayshift,agency_margin_tau_0.15,0.4481639021157034,0.42741735980912,0.42741735980912,0.4460539215686275,0.009711556131461515,0.13193334144705648,0.3685440498317636,0.3685440498317636,0.0877589755111851,600.0,20190,20190
hyser_within_subject_dayshift,agency_margin_tau_0.20,0.4522649146974606,0.4320375950646719,0.4320375950646719,0.45025980392156867,0.013428967749665705,0.15306798236468194,0.3664625145699562,0.3664625145699562,0.08843479493812025,600.0,20190,20190
hyser_within_subject_dayshift,set_acsa_tau_0.20,0.45226341435988465,0.43200495618109036,0.43200495618109036,0.45025980392156867,0.013444634618806631,0.15321476264661063,0.366497173229863,0.366497173229863,0.10656685070175417,600.0,20190,20190
hyser_within_subject_dayshift,confidence_blend_alpha_0.50,0.46733055631667586,0.44608659878662565,0.44608659878662565,0.4650833333333333,0.01888781054551416,0.23255134847167586,0.34702939669599103,0.34702939669599103,0.20016136307816662,600.0,20190,20190
hyser_within_subject_dayshift,confidence_blend_alpha_0.75,0.46478064364129584,0.4456919532493747,0.4456919532493747,0.4625196078431372,0.06103023651402878,0.4328129397655359,0.3571927033449931,0.3571927033449931,0.21315193706052468,600.0,20190,20190
hyser_within_subject_dayshift,assist_only,0.4110956509973841,0.3928631758931422,0.3928631758931422,0.4088627450980392,0.1232981612275809,0.6161729735799313,0.4166116504247265,0.4166116504247265,0.15945604649020334,600.0,20190,20190

