dataset_id,split_family,policy,safe_episode_rate,stable_safe_episode_rate,final_correct_rate,median_earliest_intervene_s,median_earliest_correct_s,median_earliest_safe_s,median_earliest_stable_safe_s
db10,db10_mixed_to_amputee,agency_margin_tau_0.05,0.5336507936507936,0.3203968253968254,0.43817460317460316,0.23333333333333334,0.22666666666666668,0.34,0.5714285714285714
db10,db10_mixed_to_amputee,agency_margin_tau_0.10,0.6064285714285714,0.431031746031746,0.5192063492063492,0.21333333333333335,0.2,0.22666666666666666,0.4
db10,db10_mixed_to_amputee,agency_margin_tau_0.15,0.648968253968254,0.5191269841269841,0.5955555555555556,0.2,0.2,0.2,0.26
db10,db10_mixed_to_amputee,agency_margin_tau_0.20,0.6484920634920636,0.5382539682539683,0.6126984126984126,0.2,0.2,0.2,0.21333333333333335
db10,db10_mixed_to_amputee,assist_only,0.6505555555555556,0.5515079365079365,0.6251587301587302,0.2,0.2,0.2,0.21333333333333335
db10,db10_mixed_to_amputee,confidence_blend_alpha_0.25,0.6472222222222223,0.5361904761904762,0.6246825396825397,0.2,0.2,0.2,0.22666666666666668
db10,db10_mixed_to_amputee,confidence_blend_alpha_0.50,0.6519047619047619,0.550952380952381,0.6284126984126984,0.2,0.2,0.2,0.21333333333333335
db10,db10_mixed_to_amputee,confidence_blend_alpha_0.75,0.6502380952380952,0.5514285714285715,0.6262698412698413,0.2,0.2,0.2,0.21333333333333335
db10,db10_mixed_to_amputee,plain_conf_threshold_matched_tau_0.02,0.08904761904761904,0.07563492063492064,0.4378571428571429,0.36000000000000004,0.24000000000000002,0.5142857142857143,0.6142857142857142
db10,db10_mixed_to_amputee,plain_conf_threshold_matched_tau_0.05,0.2806349206349206,0.2357142857142857,0.5335714285714286,0.2,0.21333333333333335,0.37142857142857144,0.42857142857142855
db10,db10_mixed_to_amputee,plain_conf_threshold_matched_tau_0.10,0.4524603174603175,0.3811111111111111,0.5736507936507936,0.2,0.2,0.23333333333333334,0.2866666666666667
